Datum von;(Uhrzeit) von;Zeitzone;(Uhrzeit) bis;Zeitzone;ID AEP in €/MWh
06.01.2024;07:45;CET;08:00;CET;119,590
06.01.2024;08:00;CET;08:15;CET;80,670
06.01.2024;08:15;CET;08:30;CET;97,360
06.01.2024;08:30;CET;08:45;CET;89,160
06.01.2024;08:45;CET;09:00;CET;97,710
06.01.2024;09:00;CET;09:15;CET;68,300
06.01.2024;09:15;CET;09:30;CET;72,150
06.01.2024;09:30;CET;09:45;CET;66,380
06.01.2024;09:45;CET;10:00;CET;66,190
06.01.2024;10:00;CET;10:15;CET;71,540
06.01.2024;10:15;CET;10:30;CET;87,220
06.01.2024;10:30;CET;10:45;CET;98,140
06.01.2024;10:45;CET;11:00;CET;103,700
06.01.2024;11:00;CET;11:15;CET;111,730
06.01.2024;11:15;CET;11:30;CET;118,380
06.01.2024;11:30;CET;11:45;CET;114,920
06.01.2024;11:45;CET;12:00;CET;98,040
06.01.2024;12:00;CET;12:15;CET;87,050
06.01.2024;12:15;CET;12:30;CET;88,710
06.01.2024;12:30;CET;12:45;CET;89,400
06.01.2024;12:45;CET;13:00;CET;81,400
06.01.2024;13:00;CET;13:15;CET;98,510
06.01.2024;13:15;CET;13:30;CET;96,350
06.01.2024;13:30;CET;13:45;CET;108,310
06.01.2024;13:45;CET;14:00;CET;121,950
06.01.2024;14:00;CET;14:15;CET;127,740
06.01.2024;14:15;CET;14:30;CET;116,670
06.01.2024;14:30;CET;14:45;CET;108,620
06.01.2024;14:45;CET;15:00;CET;116,950
06.01.2024;15:00;CET;15:15;CET;86,450
06.01.2024;15:15;CET;15:30;CET;101,740
06.01.2024;15:30;CET;15:45;CET;99,550
06.01.2024;15:45;CET;16:00;CET;106,010
06.01.2024;16:00;CET;16:15;CET;89,560
