Datum;Zeitzone;von;bis;Einheit;AEP Modul 1;AEP Modul 2;AEP Modul 3
2024-01-04;CET;08:15;08:30;EUR/MWh;116,65;N.E.;N.E.
2024-01-04;CET;08:30;08:45;EUR/MWh;N.E.;128,28;N.E.
2024-01-04;CET;08:45;09:00;EUR/MWh;9,42;N.E.;N.E.
2024-01-04;CET;09:00;09:15;EUR/MWh;-157,36;N.E.;N.E.
2024-01-04;CET;09:15;09:30;EUR/MWh;-92,18;N.E.;N.E.
2024-01-04;CET;09:30;09:45;EUR/MWh;-56,36;N.E.;N.E.
2024-01-04;CET;09:45;10:00;EUR/MWh;-86,78;N.E.;N.E.
2024-01-04;CET;10:00;10:15;EUR/MWh;117,28;N.E.;N.E.
2024-01-04;CET;10:15;10:30;EUR/MWh;121,33;N.E.;N.E.
2024-01-04;CET;10:30;10:45;EUR/MWh;123,64;N.E.;N.E.
2024-01-04;CET;10:45;11:00;EUR/MWh;124,05;N.E.;N.E.
2024-01-04;CET;11:00;11:15;EUR/MWh;N.E.;141,31;N.E.
2024-01-04;CET;11:15;11:30;EUR/MWh;N.E.;148,25;N.E.
2024-01-04;CET;11:30;11:45;EUR/MWh;N.E.;157,23;N.E.
2024-01-04;CET;11:45;12:00;EUR/MWh;N.E.;155,80;N.E.
2024-01-04;CET;12:00;12:15;EUR/MWh;N.E.;131,59;N.E.
2024-01-04;CET;12:15;12:30;EUR/MWh;N.E.;137,25;N.E.
2024-01-04;CET;12:30;12:45;EUR/MWh;N.E.;155,94;N.E.
