Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
03.01.2024;CET;03:00;03:15;MW;0,000;0,000;0,000;0,000;0,000;13,296;15,560;12,396;2,888;44,140
03.01.2024;CET;03:15;03:30;MW;0,000;0,000;0,000;0,000;0,000;27,888;32,636;26,004;6,056;92,584
03.01.2024;CET;03:30;03:45;MW;0,000;0,000;0,000;0,000;0,000;23,776;27,824;22,172;5,164;78,936
03.01.2024;CET;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;30,432;35,612;28,376;6,612;101,032
03.01.2024;CET;04:00;04:15;MW;0,000;0,000;0,000;0,000;0,000;19,676;22,700;18,088;4,212;64,676
03.01.2024;CET;04:15;04:30;MW;0,320;0,368;0,292;0,068;1,048;0,000;0,000;0,000;0,000;0,000
03.01.2024;CET;04:30;04:45;MW;0,000;0,000;0,000;0,000;0,000;12,768;14,732;11,736;2,736;41,972
03.01.2024;CET;04:45;05:00;MW;0,000;0,000;0,000;0,000;0,000;41,716;48,128;38,348;8,932;137,124
03.01.2024;CET;05:00;05:15;MW;0,000;0,000;0,000;0,000;0,000;40,536;46,768;37,264;8,680;133,248
03.01.2024;CET;05:15;05:30;MW;0,000;0,000;0,000;0,000;0,000;63,488;73,244;58,364;13,596;208,692
03.01.2024;CET;05:30;05:45;MW;10,140;11,700;9,320;2,172;33,332;0,000;0,000;0,000;0,000;0,000
03.01.2024;CET;05:45;06:00;MW;7,484;8,632;6,880;1,604;24,600;0,000;0,000;0,000;0,000;0,000
